,median,mean,max,max_year,state
Alabama,0.0,0.0,0.0,1999.0,Alabama
Alaska,0.0,0.0,0.0,1999.0,Alaska
Arizona,0.0,0.004413600341736248,0.09268560717646121,2011.0,Arizona
Arkansas,0.0,0.0,0.0,1999.0,Arkansas
California,0.0,0.010736639964753788,0.05055989394556646,2018.0,California
Colorado,0.0,0.03404854597791233,0.32050231094493203,1999.0,Colorado
Connecticut,0.0,0.04774417319062393,0.7511695292253634,2012.0,Connecticut
Delaware,0.0,0.0,0.0,1999.0,Delaware
District of Columbia,0.0,0.0,0.0,1999.0,District of Columbia
Florida,0.0,0.02177853347036263,0.23751838465006903,2016.0,Florida
Georgia,0.0,0.007907441064117697,0.11555884256263291,1999.0,Georgia
Hawaii,0.0,0.028117602434534487,0.5904696511252242,1999.0,Hawaii
Idaho,0.0,0.0,0.0,1999.0,Idaho
Illinois,0.0,0.006764325460950362,0.040037010212240196,2001.0,Illinois
Indiana,0.0,0.0,0.0,1999.0,Indiana
Iowa,0.0,0.0,0.0,1999.0,Iowa
Kansas,0.0,0.004907050405859685,0.10304805852305339,2016.0,Kansas
Kentucky,0.0,0.0066601960641837765,0.1398641173478593,2008.0,Kentucky
Louisiana,0.0,0.0,0.0,1999.0,Louisiana
Maine,0.0,0.0,0.0,1999.0,Maine
Maryland,0.0,0.008675437487310221,0.13239075528594912,2018.0,Maryland
Massachusetts,0.0,0.005240180530507492,0.11004379114065733,2000.0,Massachusetts
Michigan,0.0,0.0028709550217525083,0.060290055456802674,2016.0,Michigan
Minnesota,0.0,0.01550108808657751,0.19532783628714598,2005.0,Minnesota
Mississippi,0.0,0.01162123692727058,0.24404597547268217,2003.0,Mississippi
Missouri,0.0,0.004823064434308078,0.10128435312046964,2008.0,Missouri
Montana,0.0,0.0,0.0,1999.0,Montana
Nebraska,0.0,0.02403060537901071,0.5046427129592249,2007.0,Nebraska
Nevada,0.0,0.10169492166408688,1.95128187444174,2017.0,Nevada
New Hampshire,0.0,0.0,0.0,1999.0,New Hampshire
New Jersey,0.0,0.0,0.0,1999.0,New Jersey
New Mexico,0.0,0.0,0.0,1999.0,New Mexico
New York,0.0,0.004666003306923766,0.07251231233166136,2009.0,New York
North Carolina,0.0,0.004031427273510561,0.08465997274372179,2009.0,North Carolina
North Dakota,0.0,0.0,0.0,1999.0,North Dakota
Ohio,0.0,0.00819219802531644,0.07699255447779287,2019.0,Ohio
Oklahoma,0.0,0.0,0.0,1999.0,Oklahoma
Oregon,0.0,0.010669160499951171,0.22405237049897458,2015.0,Oregon
Pennsylvania,0.0,0.010093381605309659,0.11712289940079924,2018.0,Pennsylvania
Rhode Island,0.0,0.0,0.0,1999.0,Rhode Island
South Carolina,0.0,0.00876020574920039,0.18396432073320818,2015.0,South Carolina
South Dakota,0.0,0.0,0.0,1999.0,South Dakota
Tennessee,0.0,0.006426063821665051,0.07586323255054615,2015.0,Tennessee
Texas,0.0,0.0154588267073529,0.09179910246605225,2017.0,Texas
Utah,0.0,0.010998545882248908,0.23096946352722705,2007.0,Utah
Vermont,0.0,0.0,0.0,1999.0,Vermont
Virginia,0.0,0.02636825262816623,0.41284995484453624,2007.0,Virginia
Washington,0.0,0.0222936352902735,0.10987712127593079,2006.0,Washington
West Virginia,0.0,0.0,0.0,1999.0,West Virginia
Wisconsin,0.0,0.019409607718168357,0.12621331564904478,2005.0,Wisconsin
Wyoming,0.0,0.0,0.0,1999.0,Wyoming
