,Year,Washington,Delaware,District of Columbia,Wisconsin,West Virginia,Hawaii,Florida,Wyoming,New Jersey,New Mexico,Texas,Louisiana,North Carolina,North Dakota,Nebraska,Tennessee,New York,Pennsylvania,Alaska,Nevada,New Hampshire,Virginia,Colorado,California,Alabama,Arkansas,Vermont,Illinois,Georgia,Indiana,Iowa,Massachusetts,Arizona,Idaho,Connecticut,Maine,Maryland,Oklahoma,Ohio,Utah,Missouri,Minnesota,Michigan,Rhode Island,Kansas,Montana,Mississippi,South Carolina,Kentucky,Oregon,South Dakota
0,1900,523000.0,185000.0,278000.0,2072000.0,959000.0,0.0,530000.0,93000.0,1884000.0,196000.0,3055000.0,1384000.0,1897000.0,321000.0,1067000.0,2023000.0,7283000.0,6313000.0,0.0,43000.0,412000.0,1858000.0,543000.0,1490000.0,1830000.0,1314000.0,344000.0,4828000.0,2220000.0,2518000.0,2231000.0,2788000.0,124000.0,163000.0,910000.0,695000.0,1189000.0,800000.0,4161000.0,277000.0,3108000.0,1754000.0,2423000.0,430000.0,1473000.0,245000.0,1553000.0,1342000.0,2148000.0,415000.0,403000.0
1,1901,583000.0,187000.0,285000.0,2109000.0,972000.0,0.0,544000.0,100000.0,1889000.0,206000.0,3132000.0,1412000.0,1926000.0,346000.0,1078000.0,2041000.0,7449000.0,6439000.0,0.0,45000.0,412000.0,1887000.0,581000.0,1550000.0,1907000.0,1341000.0,347000.0,4914000.0,2263000.0,2541000.0,2227000.0,2794000.0,131000.0,176000.0,931000.0,699000.0,1200000.0,916000.0,4216000.0,284000.0,3128000.0,1805000.0,2450000.0,441000.0,1490000.0,261000.0,1578000.0,1361000.0,2162000.0,434000.0,418000.0
2,1902,651000.0,188000.0,290000.0,2141000.0,1000000.0,0.0,565000.0,105000.0,1917000.0,218000.0,3210000.0,1440000.0,1956000.0,371000.0,1089000.0,2060000.0,7612000.0,6567000.0,0.0,49000.0,409000.0,1894000.0,621000.0,1623000.0,1935000.0,1360000.0,349000.0,4992000.0,2305000.0,2567000.0,2222000.0,2856000.0,138000.0,199000.0,952000.0,703000.0,1210000.0,1027000.0,4322000.0,292000.0,3147000.0,1862000.0,2477000.0,450000.0,1505000.0,270000.0,1603000.0,1379000.0,2177000.0,454000.0,431000.0
3,1903,719000.0,190000.0,295000.0,2171000.0,1037000.0,0.0,587000.0,108000.0,1969000.0,229000.0,3291000.0,1467000.0,1986000.0,396000.0,1104000.0,2082000.0,7771000.0,6699000.0,0.0,52000.0,394000.0,1890000.0,652000.0,1702000.0,1957000.0,1384000.0,350000.0,5071000.0,2346000.0,2594000.0,2217000.0,2924000.0,144000.0,216000.0,972000.0,709000.0,1209000.0,1118000.0,4386000.0,299000.0,3166000.0,1901000.0,2505000.0,460000.0,1498000.0,282000.0,1628000.0,1397000.0,2191000.0,479000.0,437000.0
4,1904,782000.0,192000.0,302000.0,2202000.0,1064000.0,0.0,599000.0,111000.0,2050000.0,242000.0,3374000.0,1495000.0,2017000.0,421000.0,1119000.0,2086000.0,7927000.0,6833000.0,0.0,56000.0,407000.0,1889000.0,659000.0,1792000.0,1978000.0,1419000.0,353000.0,5161000.0,2387000.0,2614000.0,2212000.0,2969000.0,151000.0,229000.0,987000.0,719000.0,1217000.0,1200000.0,4458000.0,308000.0,3185000.0,1945000.0,2534000.0,471000.0,1527000.0,293000.0,1653000.0,1415000.0,2205000.0,504000.0,452000.0
5,1905,842000.0,194000.0,308000.0,2231000.0,1094000.0,0.0,615000.0,114000.0,2151000.0,255000.0,3459000.0,1523000.0,2051000.0,446000.0,1129000.0,2111000.0,8084000.0,6970000.0,0.0,59000.0,423000.0,1917000.0,680000.0,1893000.0,2012000.0,1447000.0,354000.0,5241000.0,2427000.0,2635000.0,2211000.0,3018000.0,158000.0,246000.0,1010000.0,723000.0,1237000.0,1277000.0,4530000.0,316000.0,3204000.0,1981000.0,2579000.0,481000.0,1555000.0,305000.0,1678000.0,1433000.0,2220000.0,530000.0,461000.0
6,1906,904000.0,196000.0,313000.0,2250000.0,1122000.0,0.0,628000.0,118000.0,2239000.0,269000.0,3546000.0,1551000.0,2077000.0,474000.0,1138000.0,2136000.0,8289000.0,7110000.0,0.0,64000.0,415000.0,1942000.0,707000.0,1976000.0,2045000.0,1465000.0,355000.0,5309000.0,2466000.0,2663000.0,2214000.0,3107000.0,167000.0,262000.0,1033000.0,729000.0,1251000.0,1349000.0,4587000.0,327000.0,3223000.0,1987000.0,2626000.0,492000.0,1576000.0,322000.0,1703000.0,1451000.0,2234000.0,555000.0,477000.0
7,1907,967000.0,197000.0,317000.0,2268000.0,1149000.0,0.0,645000.0,125000.0,2314000.0,283000.0,3636000.0,1579000.0,2105000.0,501000.0,1149000.0,2136000.0,8499000.0,7253000.0,0.0,68000.0,423000.0,1952000.0,733000.0,2054000.0,2058000.0,1484000.0,355000.0,5384000.0,2505000.0,2679000.0,2217000.0,3183000.0,176000.0,277000.0,1057000.0,731000.0,1257000.0,1414000.0,4630000.0,339000.0,3242000.0,1995000.0,2693000.0,505000.0,1612000.0,332000.0,1728000.0,1468000.0,2249000.0,580000.0,498000.0
8,1908,1028000.0,199000.0,321000.0,2292000.0,1174000.0,0.0,684000.0,133000.0,2403000.0,298000.0,3727000.0,1607000.0,2142000.0,528000.0,1161000.0,2164000.0,8714000.0,7398000.0,0.0,73000.0,428000.0,1994000.0,757000.0,2161000.0,2070000.0,1513000.0,354000.0,5474000.0,2543000.0,2677000.0,2220000.0,3251000.0,186000.0,291000.0,1077000.0,735000.0,1269000.0,1498000.0,4677000.0,351000.0,3260000.0,2020000.0,2722000.0,519000.0,1629000.0,346000.0,1753000.0,1485000.0,2263000.0,610000.0,527000.0
9,1909,1091000.0,201000.0,327000.0,2317000.0,1203000.0,0.0,724000.0,141000.0,2487000.0,314000.0,3821000.0,1634000.0,2174000.0,555000.0,1177000.0,2177000.0,8935000.0,7546000.0,0.0,78000.0,431000.0,2038000.0,775000.0,2282000.0,2108000.0,1545000.0,356000.0,5567000.0,2580000.0,2678000.0,2223000.0,3316000.0,196000.0,311000.0,1097000.0,740000.0,1289000.0,1585000.0,4701000.0,363000.0,3279000.0,2051000.0,2771000.0,532000.0,1658000.0,363000.0,1777000.0,1502000.0,2278000.0,643000.0,553000.0
